project_id,approved_cost,expenditure,physical_progress,financial_progress,start_date,planned_end_date,cost_overrun,time_overrun
SYN-119,467000000.0,<function <lambda> at 0x0000026E2397C860>,0.6333972218532722,0.7666761399969502,2024-01-01,2026-01-01,0,0
SYN-120,104000000.0,<function <lambda> at 0x0000026E2397C860>,0.5932111110888441,0.6062664864510119,2024-01-01,2026-01-01,0,0
SYN-121,397000000.0,<function <lambda> at 0x0000026E2397C860>,0.6543573394459826,0.4181474185998378,2024-01-01,2026-01-01,0,0
SYN-122,430000000.0,<function <lambda> at 0x0000026E2397C860>,0.12853321866009687,0.2675724057286366,2024-01-01,2026-01-01,0,1
SYN-123,364000000.0,<function <lambda> at 0x0000026E2397C860>,0.4367008840186669,0.8276239225682203,2024-01-01,2026-01-01,1,1
SYN-124,418000000.0,<function <lambda> at 0x0000026E2397C860>,0.08870118169156001,0.0,2024-01-01,2026-01-01,0,1
SYN-125,427000000.0,<function <lambda> at 0x0000026E2397C860>,0.5094114618974026,0.7449005043630765,2024-01-01,2026-01-01,1,1
SYN-126,250000000.0,<function <lambda> at 0x0000026E2397C860>,0.3567709274694903,0.37763638730736937,2024-01-01,2026-01-01,0,1
SYN-127,68000000.0,<function <lambda> at 0x0000026E2397C860>,0.18440749564542364,0.25336911339623114,2024-01-01,2026-01-01,0,1
SYN-128,255000000.0,<function <lambda> at 0x0000026E2397C860>,0.14616475998197304,0.03664302805526222,2024-01-01,2026-01-01,0,1
SYN-129,140000000.0,<function <lambda> at 0x0000026E2397C860>,0.5965094521252722,0.6163073411012144,2024-01-01,2026-01-01,0,0
SYN-130,101000000.0,<function <lambda> at 0x0000026E2397C860>,0.20865146073930407,0.5226594877851166,2024-01-01,2026-01-01,1,1
SYN-131,106000000.0,<function <lambda> at 0x0000026E2397C860>,0.9103617100904213,1.0952396536482085,2024-01-01,2026-01-01,1,0
SYN-132,363000000.0,<function <lambda> at 0x0000026E2397C860>,0.5903868599213673,0.9822029488951572,2024-01-01,2026-01-01,1,1
SYN-133,277000000.0,<function <lambda> at 0x0000026E2397C860>,0.3725889182173984,0.6645230582333832,2024-01-01,2026-01-01,1,1
SYN-134,292000000.0,<function <lambda> at 0x0000026E2397C860>,0.5995514070777176,0.7585870092850413,2024-01-01,2026-01-01,1,0
SYN-135,385000000.0,<function <lambda> at 0x0000026E2397C860>,0.07120760005761867,0.46511581476782127,2024-01-01,2026-01-01,1,1
SYN-136,296000000.0,<function <lambda> at 0x0000026E2397C860>,0.9414600683145441,1.1004788368874379,2024-01-01,2026-01-01,1,0
SYN-137,333000000.0,<function <lambda> at 0x0000026E2397C860>,0.49854219635689717,0.7275800681803678,2024-01-01,2026-01-01,1,1
SYN-138,88000000.0,<function <lambda> at 0x0000026E2397C860>,0.7779437613427662,0.8045609897065187,2024-01-01,2026-01-01,0,0
SYN-139,433000000.0,<function <lambda> at 0x0000026E2397C860>,0.12693889992786786,0.21891714678252472,2024-01-01,2026-01-01,0,1
SYN-140,251000000.0,<function <lambda> at 0x0000026E2397C860>,0.5025922476794891,0.45705595948543926,2024-01-01,2026-01-01,0,1
SYN-141,119000000.0,<function <lambda> at 0x0000026E2397C860>,0.5063575047497044,0.7644826129767779,2024-01-01,2026-01-01,1,1
SYN-142,415000000.0,<function <lambda> at 0x0000026E2397C860>,0.922178603126734,0.7900839509660582,2024-01-01,2026-01-01,0,0
SYN-143,380000000.0,<function <lambda> at 0x0000026E2397C860>,0.5817070887097501,0.8025301503449291,2024-01-01,2026-01-01,1,1
SYN-144,73000000.0,<function <lambda> at 0x0000026E2397C860>,0.490345142982967,0.5360279526320383,2024-01-01,2026-01-01,0,1
SYN-145,136000000.0,<function <lambda> at 0x0000026E2397C860>,0.298287366675461,0.5891118434995786,2024-01-01,2026-01-01,1,1
SYN-146,57000000.0,<function <lambda> at 0x0000026E2397C860>,0.3583591675285735,0.5735155855002003,2024-01-01,2026-01-01,1,1
SYN-147,171000000.0,<function <lambda> at 0x0000026E2397C860>,0.5342253342985301,0.9419416426749545,2024-01-01,2026-01-01,1,1
SYN-148,94000000.0,<function <lambda> at 0x0000026E2397C860>,0.4581876580836934,0.6697271024886494,2024-01-01,2026-01-01,1,1
SYN-149,369000000.0,<function <lambda> at 0x0000026E2397C860>,0.07009923428870729,0.0,2024-01-01,2026-01-01,0,1
SYN-150,285000000.0,<function <lambda> at 0x0000026E2397C860>,0.8184514895007527,0.8863999183790766,2024-01-01,2026-01-01,0,0
SYN-151,491000000.0,<function <lambda> at 0x0000026E2397C860>,0.883429517810983,0.7524682231439161,2024-01-01,2026-01-01,0,0
SYN-152,387000000.0,<function <lambda> at 0x0000026E2397C860>,0.18043165276870798,0.16714128114277854,2024-01-01,2026-01-01,0,1
SYN-153,325000000.0,<function <lambda> at 0x0000026E2397C860>,0.565253613491316,0.9172747314811258,2024-01-01,2026-01-01,1,1
SYN-154,279000000.0,<function <lambda> at 0x0000026E2397C860>,0.1509754392559625,0.3457315252175478,2024-01-01,2026-01-01,1,1
SYN-155,74000000.0,<function <lambda> at 0x0000026E2397C860>,0.6751832865270249,0.6293758093828505,2024-01-01,2026-01-01,0,0
SYN-156,81000000.0,<function <lambda> at 0x0000026E2397C860>,0.3115474189702777,0.20907829301100594,2024-01-01,2026-01-01,0,1
SYN-157,327000000.0,<function <lambda> at 0x0000026E2397C860>,0.6632630502634687,0.7491638269811955,2024-01-01,2026-01-01,0,0
SYN-158,51000000.0,<function <lambda> at 0x0000026E2397C860>,0.7261049912868008,0.5871241643981979,2024-01-01,2026-01-01,0,0
SYN-159,69000000.0,<function <lambda> at 0x0000026E2397C860>,0.764842167483421,0.7240369175520365,2024-01-01,2026-01-01,0,0
SYN-160,148000000.0,<function <lambda> at 0x0000026E2397C860>,0.1501990797389838,0.2863607846182077,2024-01-01,2026-01-01,0,1
SYN-161,447000000.0,<function <lambda> at 0x0000026E2397C860>,0.9018910159779754,1.1898471824771808,2024-01-01,2026-01-01,1,1
SYN-162,256000000.0,<function <lambda> at 0x0000026E2397C860>,0.26409901153223914,0.4536760765326383,2024-01-01,2026-01-01,1,1
SYN-163,369000000.0,<function <lambda> at 0x0000026E2397C860>,0.0847936772438472,0.0,2024-01-01,2026-01-01,0,1
SYN-164,235000000.0,<function <lambda> at 0x0000026E2397C860>,0.5660127965340795,0.7007988077595263,2024-01-01,2026-01-01,0,0
SYN-165,127000000.0,<function <lambda> at 0x0000026E2397C860>,0.394957723992068,0.48792376717393204,2024-01-01,2026-01-01,0,1
SYN-166,217000000.0,<function <lambda> at 0x0000026E2397C860>,0.8217044611131442,0.976204712480229,2024-01-01,2026-01-01,1,0
SYN-167,91000000.0,<function <lambda> at 0x0000026E2397C860>,0.8016738690198006,1.172591611717018,2024-01-01,2026-01-01,1,1
SYN-168,396000000.0,<function <lambda> at 0x0000026E2397C860>,0.3449391703251252,0.05355628050027156,2024-01-01,2026-01-01,0,1
SYN-169,132000000.0,<function <lambda> at 0x0000026E2397C860>,0.9361964374148628,0.9097978208804638,2024-01-01,2026-01-01,0,0
SYN-170,219000000.0,<function <lambda> at 0x0000026E2397C860>,0.32055358947031026,0.5069167275731141,2024-01-01,2026-01-01,1,1
SYN-171,491000000.0,<function <lambda> at 0x0000026E2397C860>,0.5290031301854945,0.3243161382837849,2024-01-01,2026-01-01,0,1
SYN-172,316000000.0,<function <lambda> at 0x0000026E2397C860>,0.28804753422787055,0.6337183628775022,2024-01-01,2026-01-01,1,1
SYN-173,256000000.0,<function <lambda> at 0x0000026E2397C860>,0.9205205201455359,1.0668247104316544,2024-01-01,2026-01-01,1,0
SYN-174,294000000.0,<function <lambda> at 0x0000026E2397C860>,0.20308527035127688,0.4354703878030896,2024-01-01,2026-01-01,1,1
SYN-175,402000000.0,<function <lambda> at 0x0000026E2397C860>,0.09176687603486597,0.06899701696094296,2024-01-01,2026-01-01,0,1
SYN-176,164000000.0,<function <lambda> at 0x0000026E2397C860>,0.45464026580282524,0.6811177299967431,2024-01-01,2026-01-01,1,1
SYN-177,336000000.0,<function <lambda> at 0x0000026E2397C860>,0.9729092745719284,1.2452341546499555,2024-01-01,2026-01-01,1,1
SYN-178,442000000.0,<function <lambda> at 0x0000026E2397C860>,0.8792598576170699,1.0011779012417603,2024-01-01,2026-01-01,0,0
SYN-179,307000000.0,<function <lambda> at 0x0000026E2397C860>,0.7462054580949627,0.8683976187807281,2024-01-01,2026-01-01,0,0
